attrib1,attrib2,attrib3,attrib4,attrib5,attrib6,attrib7,attrib8,attrib9,attrib10,attrib11,attrib12,attrib13,attrib14,attrib15,attrib16,attrib17,attrib18,attrib19,attrib20,actual_class,subset,predicted_class,trust_score,dist_to_non_pred,dist_to_pred,our_score,model_confidence,mean_distance,rowID
37,3,0,2,0,1,0,1,8,0,1138,2,999,1,1,-1.8,93.075,-47.1,1.466,5099.1,1,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,0
56,3,2,3,0,1,1,1,2,0,123,3,999,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,1
39,10,0,1,0,2,2,0,1,0,440,3,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,2
42,6,0,6,0,0,0,1,3,0,169,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,3
55,2,0,1,0,0,1,0,0,2,213,1,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,4
45,3,0,2,1,1,0,1,3,3,90,3,999,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,5
45,3,1,3,0,0,0,1,8,0,129,1,999,0,0,-1.8,93.075,-47.1,1.466,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,6
35,2,1,6,0,1,0,0,0,1,153,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,7
58,3,0,2,0,1,0,1,3,1,140,3,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,8
30,1,1,1,0,1,0,1,8,2,247,2,999,0,0,-1.8,93.075,-47.1,1.4980000000000002,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,9
44,4,1,2,1,0,0,0,1,4,8,9,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,10
29,8,1,1,0,1,1,1,5,3,337,3,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,11
53,4,0,4,1,1,0,0,0,4,264,1,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,12
44,6,0,6,0,1,0,1,3,0,389,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,13
44,3,0,2,0,1,1,1,8,0,7,6,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,14
42,2,2,6,0,0,0,0,1,2,104,1,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0,train,-1,-1,-1,-1,-1.0,-1.0,-1.0,15
