rownum,attrib1,attrib2,attrib3,attrib4,class,pca1,pca2
0,4.9,3.0,1.4,0.2,Iris-setosa,-2.7153906156341336,0.1695568475560263
1,4.7,3.2,1.3,0.2,Iris-setosa,-2.889819539617919,0.13734560960502762
2,4.6,3.1,1.5,0.2,Iris-setosa,-2.746437197308737,0.31112431575199156
3,4.6,3.4,1.4,0.3,Iris-setosa,-2.8208906821806328,0.08210451102468048
4,4.4,2.9,1.4,0.2,Iris-setosa,-2.887958565335637,0.5707980263315912
5,4.9,3.1,1.5,0.1,Iris-setosa,-2.6738446867191232,0.10669170375273858
6,4.8,3.4,1.6,0.2,Iris-setosa,-2.6131427182710585,-0.021520631960258343
7,4.8,3.0,1.4,0.1,Iris-setosa,-2.7874339759971,0.22774018887110625
8,4.3,3.0,1.1,0.1,Iris-setosa,-3.2252004462749833,0.5032799094854256
9,5.1,3.3,1.7,0.5,Iris-setosa,-2.3031285376638846,-0.105522678429982
10,4.8,3.4,1.9,0.2,Iris-setosa,-2.3561710866839003,0.031209589068337693
11,5.0,3.0,1.6,0.2,Iris-setosa,-2.507917226837883,0.1390563399131743
12,5.0,3.4,1.6,0.4,Iris-setosa,-2.4690559975451256,-0.13788731459041775
13,4.7,3.2,1.6,0.2,Iris-setosa,-2.6328479080307607,0.19007583063362382
14,4.8,3.1,1.6,0.2,Iris-setosa,-2.5884620513033942,0.19739307943769074
15,4.9,3.1,1.5,0.1,Iris-setosa,-2.6738446867191232,0.10669170375273858
16,5.0,3.2,1.2,0.2,Iris-setosa,-2.8669998469325364,-0.07719309572358675
17,4.9,3.1,1.5,0.1,Iris-setosa,-2.6738446867191232,0.10669170375273858
18,4.4,3.0,1.3,0.2,Iris-setosa,-2.981842664853911,0.4802500488560761
19,4.5,2.3,1.3,0.3,Iris-setosa,-2.8522110815663946,0.9328653674695448
20,4.4,3.2,1.3,0.2,Iris-setosa,-2.998296442832354,0.3343075745907764
21,4.8,3.0,1.4,0.3,Iris-setosa,-2.715665190747457,0.24268148289811303
22,4.6,3.2,1.4,0.2,Iris-setosa,-2.8403212968270117,0.22057633827647638
23,5.0,3.3,1.4,0.2,Iris-setosa,-2.703912314863653,-0.11501085217050556
24,7.0,3.2,4.7,1.4,Iris-versicolor,1.2847945878450684,-0.6854391861329187
25,6.9,3.1,4.9,1.5,Iris-versicolor,1.4640613227790724,-0.504189832972452
26,6.7,3.1,4.4,1.4,Iris-versicolor,0.9275729420326969,-0.468236205043116
27,6.7,3.1,4.7,1.5,Iris-versicolor,1.2204289662446766,-0.4080353370010165
28,7.1,3.0,5.9,2.1,Iris-virginica,2.6164846082840403,-0.3419352869872938
29,7.6,3.0,6.6,2.1,Iris-virginica,3.396879920678134,-0.5471680462301514
30,7.3,2.9,6.3,1.8,Iris-virginica,2.9320050969912974,-0.35237700618085893
31,7.2,3.6,6.1,2.5,Iris-virginica,2.918134233644248,-0.7803806293720313
32,7.7,3.8,6.7,2.2,Iris-virginica,3.4887653796563827,-1.1715445442635635
33,6.9,3.2,5.7,2.3,Iris-virginica,2.4281672590208454,-0.37678197125415175
34,7.7,2.8,6.7,2.0,Iris-virginica,3.4992654842989532,-0.4567734669640731
35,6.7,3.3,5.7,2.1,Iris-virginica,2.2758536493056907,-0.33338652575664174
36,7.2,3.2,6.0,1.8,Iris-virginica,2.6141938306983303,-0.5583669502788215
37,7.2,3.0,5.8,1.6,Iris-virginica,2.387564402369024,-0.4625192507262596
38,7.4,2.8,6.1,1.9,Iris-virginica,2.8409609252853802,-0.37274259104901986
39,7.7,3.0,6.1,2.3,Iris-virginica,3.0765216210206585,-0.6857644422460547
40,6.9,3.1,5.4,2.1,Iris-virginica,2.1076537311732655,-0.37148224917710476
41,6.9,3.1,5.1,2.3,Iris-virginica,1.9224508848357496,-0.40927117617869424
42,6.8,3.2,5.9,2.3,Iris-virginica,2.5633227123408058,-0.2759745022398376
43,6.7,3.3,5.7,2.5,Iris-virginica,2.419391219804977,-0.3035039377026282
