subset,xpos,ypos
"UNSEEN CORRECT",0.7497514351944692,0.6541791739318226
"UNSEEN CORRECT",0.831493620363506,0.8686175987980969
"UNSEEN CORRECT",0.8719244277144156,0.7725376007648586
"UNSEEN CORRECT",0.23456187793481065,0.4831765942521577
"UNSEEN CORRECT",0.5354716921997842,0.5320060911640775
"UNSEEN CORRECT",0.33492059657926204,0.3134145113520096
"UNSEEN CORRECT",0.8641218636789629,0.7683840639044002
"UNSEEN CORRECT",0.6646653662061791,0.5182475004306593
"UNSEEN CORRECT",0.8337816521470184,0.9082924744701631
"UNSEEN CORRECT",0.8198252461318187,0.9069898985661435
"UNSEEN CORRECT",0.530975413016434,0.5490250649408595
"UNSEEN CORRECT",0.49549264595029935,0.093184220021165
"UNSEEN CORRECT",0.4841236518077757,0.09084838468011713
"UNSEEN CORRECT",0.3143165989571214,0.386177713527467
"UNSEEN CORRECT",0.686506137716808,0.5317770896011431
"UNSEEN CORRECT",0.8111198504556953,0.9102502964095667
"UNSEEN CORRECT",0.3151384310284008,0.5531795511090072
"UNSEEN CORRECT",0.2781412111200723,0.4256011388224151
"UNSEEN CORRECT",0.8714370681589185,0.8016492969068612
"UNSEEN CORRECT",0.34145135015675643,0.33010144510422323
"UNSEEN CORRECT",0.3791536482368547,0.23114447589016207
"UNSEEN CORRECT",0.8305844916018663,0.9128369039384834
"UNSEEN CORRECT",0.2657650470808545,0.45424271484415035
"UNSEEN CORRECT",0.7492998449936168,0.6744630244334348
"UNSEEN CORRECT",0.41235372880860005,0.08456531349349355
"UNSEEN CORRECT",0.8149579883581064,0.9125320931761454
"UNSEEN CORRECT",0.41457008309645016,0.5213886526528351
"UNSEEN CORRECT",0.2967107203717948,0.5522737407968324
"UNSEEN CORRECT",0.2529362127965876,0.47209377020428794
"UNSEEN CORRECT",0.35479531443974244,0.507565027730579
"UNSEEN CORRECT",0.2989952871481375,0.3582965760381147
"UNSEEN CORRECT",0.30496068910292284,0.5422746181070324
"UNSEEN CORRECT",0.8166340448127547,0.7457900982873369
"UNSEEN CORRECT",0.8081813828904412,0.6770637824230852
